Item Name,Quantity,Price (USD),Item Link,Notes
Water Balloons Pack,1,2.99,https://www.cvs.com/shop/ja-ru-water-balloons-with-filler-150-ct-prodid-599103,
Push Pins,1,2.99,https://www.cvs.com/shop/caliber-push-pins-prodid-247031,
Delivery Costs,1,7.00,,Uber Eats delivery of CVS items
3D Printed Parts,1,,,3D printed @ Outpost
SG90 Micro Servo,2,,,Servo motor, Hardware Bar @ Outpost
ESP32-C3 Mini,6,,,Microcontroller, Hardware Bar @ Outpost
MPU6050,4,,,Accelerometer, Hardware Bar @ Outpost
M3 Screws,28,,,Connectors, Hardware Bar @ Outpost
M3 Nuts,28,,,Connectors, Hardware Bar @ Outpost
3.7V LiPo Battery,6,,,Power source, Hardware Bar @ Outpost
Assorted Jumper Wires,,,,Hardware Bar @ Outpost
Electrical Tape,,,,Hardware Bar @ Outpost
TOTAL,,12.98,,